Date,Open,High,Low,Close,Volume,Range,Range (BTC),Action
7/6/15,271.108002,277.421997,267.600006,269.029999,49154800,9.821991,0.03636845,Hold
7/7/15,269.963013,271.341003,264.832001,266.207001,28857600,6.509002,0.02427962,Hold
7/8/15,265.981995,272.971008,264.385986,270.785004,36980200,8.585022,0.031987891,Hold
7/9/15,270.826996,272.334991,267.085999,269.227997,40301200,5.248992,0.019438731,Hold
7/10/15,269.156006,294.591003,268.802002,284.894012,100390000,25.789001,0.093092682,Hold
7/11/15,284.880005,298.506012,283.529999,293.11499,41109900,14.976013,0.051820563,Hold
7/12/15,293.140015,314.394012,292.505005,310.867004,56405000,21.889007,0.072479313,Sell
7/13/15,310.826996,310.947998,281.010986,292.053986,62053900,29.937012,0.099313174,Hold
7/14/15,292.033997,296.147003,286.638,287.463989,28727200,9.509003,0.032818071,Hold
7/15/15,288.045013,293.247986,285.367004,285.82901,27486600,7.880982,0.027465896,Hold
7/16/15,286.041992,291.183014,275.23999,278.088989,49482600,15.943024,0.05652242,Hold
7/17/15,278.091003,280.279999,272.042999,279.471985,27591400,8.237,0.029546438,Hold
7/18/15,279.330994,282.527008,274.075012,274.901001,25187100,8.451996,0.030499849,Hold
7/19/15,274.766998,275.670013,272.513,273.614014,15332500,3.157013,0.01151394,Hold
7/20/15,273.498993,278.980988,272.959991,278.980988,22711400,6.020997,0.021796254,Hold
7/21/15,278.881989,280.546997,275.419006,275.833008,22930700,5.127991,0.018488741,Hold
7/22/15,275.657013,277.665985,274.381012,277.221985,19389800,3.284973,0.011883154,Hold
